R,H,I,E,S,Time
0,0,9,136,9855,0.0287259
0,0,10,135,9855,0.0391937
0,0,11,134,9855,0.0462543
0,0,12,133,9855,0.12196
0,0,13,132,9855,0.124157
0,0,14,131,9855,0.151252
0,0,15,130,9855,0.158585
1,0,14,130,9855,0.1936
1,0,15,129,9855,0.20552
1,0,15,130,9854,0.209332
2,0,14,130,9854,0.217103
2,0,15,129,9854,0.254146
2,0,16,128,9854,0.269921
2,0,17,127,9854,0.288613
2,0,18,126,9854,0.365449
2,0,19,125,9854,0.376468
2,0,20,124,9854,0.378508
2,0,21,123,9854,0.378625
3,0,20,123,9854,0.382369
4,0,19,123,9854,0.384511
4,0,20,122,9854,0.388755
4,0,20,123,9853,0.415542
4,0,21,122,9853,0.416062
4,0,21,123,9852,0.449347
5,0,20,123,9852,0.453684
5,0,21,122,9852,0.490081
6,0,20,122,9852,0.542448
6,0,20,123,9851,0.566009
6,0,20,124,9850,0.572263
6,0,21,123,9850,0.579567
6,0,22,122,9850,0.602473
7,0,21,122,9850,0.612686
7,0,22,121,9850,0.614323
7,0,23,120,9850,0.618191
7,0,24,119,9850,0.624076
8,0,23,119,9850,0.647806
8,0,24,118,9850,0.649672
8,0,25,117,9850,0.680402
9,0,24,117,9850,0.682873
9,0,25,116,9850,0.693244
9,0,26,115,9850,0.697
9,0,26,116,9849,0.703203
9,0,27,115,9849,0.704447
9,0,27,116,9848,0.707927
9,0,28,115,9848,0.756362
9,0,28,116,9847,0.763116
9,0,28,117,9846,0.777784
9,0,28,118,9845,0.780371
9,0,29,117,9845,0.784643
9,0,30,116,9845,0.820622
9,0,30,117,9844,0.822933
9,0,31,116,9844,0.835969
9,0,32,115,9844,0.842794
9,0,32,116,9843,0.844778
9,0,33,115,9843,0.865527
9,0,33,116,9842,0.871739
9,0,34,115,9842,0.889065
9,0,35,114,9842,0.889678
9,0,36,113,9842,0.934955
9,0,36,114,9841,0.936005
9,0,37,113,9841,0.938517
10,0,36,113,9841,0.970335
11,0,35,113,9841,0.989216
11,0,35,114,9840,1.01909
11,0,35,115,9839,1.02315
11,0,35,116,9838,1.06147
11,0,35,117,9837,1.08211
11,0,36,116,9837,1.08584
12,0,35,116,9837,1.08916
12,0,36,115,9837,1.10107
12,0,36,116,9836,1.13673
12,0,36,117,9835,1.14233
12,0,37,116,9835,1.17796
12,0,38,115,9835,1.20491
12,0,39,114,9835,1.20793
12,0,39,115,9834,1.2898
12,0,40,114,9834,1.29846
13,0,39,114,9834,1.33464
14,0,38,114,9834,1.34517
14,0,39,113,9834,1.35072
14,0,40,112,9834,1.35778
14,0,40,113,9833,1.3707
14,0,41,112,9833,1.3709
15,0,40,112,9833,1.37195
15,0,41,111,9833,1.37518
16,0,40,111,9833,1.38278
17,0,39,111,9833,1.3828
18,0,38,111,9833,1.40209
