B,C,A,Time
1,1,99,0.329341
2,1,98,0.684058
3,1,97,7.22353
4,1,96,31.5471
5,1,95,36.6518
6,1,94,38.9449
7,1,93,42.0837
8,1,92,42.4803
9,1,91,83.4101
10,1,90,124.326
11,1,89,125.197
12,1,88,133.351
13,1,87,157.157
14,1,86,166.6
15,1,85,184.698
16,1,84,190.009
17,1,83,200.955
18,1,82,203.424
19,1,81,203.543
20,1,80,205.135
21,1,79,216.047
22,1,78,232.719
23,1,77,239.478
24,1,76,252.596
25,1,75,286.693
26,1,74,303.556
27,1,73,309.366
28,1,72,316.682
29,1,71,331.767
30,1,70,333.695
31,1,69,346.87
32,1,68,370.255
33,1,67,378.056
34,1,66,382.91
35,1,65,409.542
36,1,64,413.156
37,1,63,427.825
38,1,62,442.013
39,1,61,446.707
40,1,60,457.923
41,1,59,460.369
42,1,58,482.703
43,1,57,503.65
44,1,56,522.868
45,1,55,527.521
46,1,54,572.707
47,1,53,595.174
48,1,52,605.828
49,1,51,614.747
50,1,50,623.305
51,1,49,633.661
52,1,48,756.916
53,1,47,760.197
54,1,46,784.637
55,1,45,794.933
56,1,44,807.274
57,1,43,868.868
58,1,42,882.877
59,1,41,892.856
60,1,40,919.11
61,1,39,946.192
62,1,38,1033.57
63,1,37,1064.32
64,1,36,1091.33
65,1,35,1097.78
66,1,34,1121.55
67,1,33,1165.09
68,1,32,1215.76
69,1,31,1228.66
70,1,30,1332.51
71,1,29,1332.83
72,1,28,1354.33
73,1,27,1357.19
74,1,26,1393.24
75,1,25,1393.3
76,1,24,1400.06
77,1,23,1546.92
78,1,22,1597.67
79,1,21,1623.8
80,1,20,1731.35
81,1,19,1740.3
82,1,18,1772.1
83,1,17,1790.27
84,1,16,1804.45
85,1,15,1957.28
86,1,14,2026.43
